gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
  366  -2.04   0.66  0.94  0.26  102   97  1.00  0.40 
  367  -2.09   0.56  0.91  0.23   95  122  1.00  0.40 
  368  -2.09   0.50  0.89  0.21   97   89  1.00  0.40 
  369  -2.13   0.50  0.96  0.21   81   97  1.00  0.40 
  370  -2.36   0.61  0.79  0.24   94  105  1.00  0.40 
  371  -2.45   0.67  0.70  0.26   95  102  1.00  0.40 
  372  -2.40   0.65  0.73  0.26  102  108  1.00  0.40 
  373  -2.53   0.64  0.66  0.25  120  107  1.00  0.40 
  374  -2.48   0.62  0.72  0.25  100   99  1.00  0.40 
  375  -2.48   0.56  0.81  0.23  109   99  1.00  0.40 
  376  -2.54   0.60  0.81  0.24   94   95  1.00  0.40 
  377  -2.55   0.61  0.81  0.26  113  101  1.00  0.40 
  378  -2.50   0.66  0.81  0.29  111   92  1.00  0.40 
  379  -2.45   0.60  0.84  0.26   97  112  1.00  0.40 
  380  -2.46   0.53  0.84  0.23   98   99  1.00  0.40 
  381  -2.50   0.51  0.84  0.22  100  100  1.00  0.40 
  382  -2.52   0.55  0.82  0.24   94  107  1.00  0.40 
  383  -2.61   0.71  0.82  0.29   90  107  1.00  0.40 
  384  -2.64   0.60  0.87  0.27   97  101  1.00  0.40 
  385  -2.54   0.59  0.93  0.25   85  119  1.00  0.40 
  386  -2.56   0.46  0.95  0.19  100   98  1.00  0.40 
  387  -2.63   0.58  0.92  0.24  104   84  1.00  0.40 
  388  -2.66   0.63  0.93  0.25   90  104  1.00  0.40 
  389  -2.69   0.49  0.93  0.21  106   99  1.00  0.40 
  390  -2.78   0.51  0.92  0.21   89  116  1.00  0.40 
  391  -0.31   0.26  0.41  0.11   94   82  1.00  0.40 
  392  -0.40   0.16  0.49  0.07  101  107  1.00  0.40 
  393  -0.51   0.07  0.52  0.03   96   91  1.00  0.40 
  394  -0.57   0.08  0.51  0.04  100  101  1.00  0.40 
  395  -0.69   0.04  0.60  0.02   92   99  1.00  0.40 
  396  -0.80   0.02  0.68  0.01   99  105  1.00  0.40 
  397  -0.89   0.04  0.74  0.02  104   97  1.00  0.40 
  398  -1.04   0.02  0.82  0.01  102   98  1.00  0.40 
  399  -1.14   0.02  0.84  0.02  101  104  1.00  0.40 
  400  -1.24  -0.00  0.84  0.03   92  100  1.00  0.40 
  401  -1.39  -0.00  0.86  0.02   99   86  1.00  0.40 
  402  -1.48  -0.00  0.86  0.01  101  102  1.00  0.40 
  403  -1.53  -0.00  0.85  0.02  105   90  1.00  0.40 
  404  -1.60   0.00  0.84  0.00  101   89  1.00  0.40 
  405  -1.78   0.00  0.77  0.00  103  104  1.00  0.40 
  406  -1.86   0.00  0.74  0.00   88   96  1.00  0.40 
  407  -1.82   0.00  0.78  0.00   98   96  1.00  0.40 
  408  -1.87   0.00  0.77  0.00   95   96  1.00  0.40 
  409  -1.94   0.00  0.74  0.00  106   98  1.00  0.40 
  410  -1.99   0.00  0.72  0.00  110  113  1.00  0.40 
  411  -2.01   0.00  0.71  0.01  109  110  1.00  0.40 
  412  -2.02   0.00  0.73  0.00  103   96  1.00  0.40 
  413  -2.03   0.00  0.68  0.00   98  103  1.00  0.40 
  414  -2.06   0.00  0.58  0.00  101  100  1.00  0.40 
  415  -2.07   0.00  0.57  0.00  102  103  1.00  0.40 
  416  -2.07   0.00  0.56  0.00  102   91  1.00  0.40 
  417  -2.07   0.00  0.58  0.00   98   99  1.00  0.40 
  418  -2.07  -0.01  0.59  0.01  101   98  1.00  0.40 
