gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
  202   3.96  -3.20  3.08  2.26 987710059  1.00  0.40 
  203   3.96  -3.04  3.08  2.24 992710064  1.00  0.40 
  204   4.01  -2.82  3.09  2.22 9872 9965  1.00  0.40 
  205   4.02  -2.56  3.09  2.2110017 9940  1.00  0.40 
  206   4.05  -2.28  3.09  2.1810064 9945  1.00  0.40 
  207   4.06  -1.95  3.10  2.141000410055  1.00  0.40 
  208   4.10  -1.59  3.12  2.1110065 9944  1.00  0.40 
  209   4.09  -1.17  3.11  2.04 993410029  1.00  0.40 
  210   4.08  -0.64  3.13  1.95 995310089  1.00  0.40 
  211   4.10  -0.04  3.15  1.83 9919 9936  1.00  0.40 
  212   4.10   0.58  3.15  1.67 993910026  1.00  0.40 
  213   4.06   1.17  3.17  1.491001310056  1.00  0.40 
  214   4.03   1.76  3.17  1.311010010059  1.00  0.40 
  215   4.01   2.32  3.18  1.1110007 9882  1.00  0.40 
  216   3.98   2.76  3.21  0.9410113 9995  1.00  0.40 
  217   3.97   3.10  3.26  0.821003510044  1.00  0.40 
  218   3.94   3.37  3.29  0.691007010017  1.00  0.40 
  219   3.84   3.58  3.32  0.60 995810021  1.00  0.40 
  220   3.75   3.71  3.33  0.54 987310025  1.00  0.40 
  221   3.65   3.83  3.37  0.481000710047  1.00  0.40 
  222   3.52   3.88  3.40  0.4410034 9989  1.00  0.40 
  223   3.39   3.94  3.43  0.41 998210114  1.00  0.40 
  224   3.30   3.97  3.46  0.401001810062  1.00  0.40 
  225   3.18   4.00  3.51  0.38 992210011  1.00  0.40 
  226   3.05   4.01  3.54  0.37 9907 9995  1.00  0.40 
  227   2.97   4.02  3.58  0.38 991110063  1.00  0.40 
  228   2.87   4.01  3.62  0.381004610016  1.00  0.40 
  229   2.82   4.02  3.66  0.38 9920 9922  1.00  0.40 
  230   2.72   4.01  3.69  0.3910067 9966  1.00  0.40 
  231   2.67   4.00  3.73  0.401010310061  1.00  0.40 
  232   2.58   4.01  3.76  0.39 996510097  1.00  0.40 
  233   2.49   4.00  3.79  0.411007910059  1.00  0.40 
  234   2.49   3.99  3.81  0.43 9995 9994  1.00  0.40 
  235   2.37   3.98  3.87  0.44 985410002  1.00  0.40 
  236   2.31   3.96  3.92  0.45 9876 9946  1.00  0.40 
  237   2.20   3.93  3.95  0.48 993710065  1.00  0.40 
  238   2.11   3.92  3.98  0.50 9996 9948  1.00  0.40 
  239   2.00   3.91  4.00  0.51 9956 9938  1.00  0.40 
  240   1.95   3.92  4.02  0.52 9952 9930  1.00  0.40 
  241   1.91   3.93  4.04  0.5510043 9910  1.00  0.40 
  242   1.86   3.92  4.07  0.59 9964 9956  1.00  0.40 
  243   1.79   3.91  4.10  0.6010105 9969  1.00  0.40 
  244   1.73   3.93  4.13  0.6210117 9988  1.00  0.40 
  245   1.57   3.97  4.17  0.631004110048  1.00  0.40 
  246   1.46   4.02  4.18  0.651003410022  1.00  0.40 
  247   1.33   4.07  4.19  0.691004510074  1.00  0.40 
  248   1.10   4.12  4.22  0.7110139 9902  1.00  0.40 
  249   0.98   4.21  4.24  0.7510034 9925  1.00  0.40 
  250   0.80   4.32  4.25  0.7810146 9946  1.00  0.40 
  251   0.56   4.42  4.25  0.82 9959 9969  1.00  0.40 
  252   0.22   4.54  4.25  0.84 999910018  1.00  0.40 
  253  -0.04   4.65  4.27  0.8910032 9826  1.00  0.40 
  254  -0.25   4.74  4.28  0.92 996110038  1.00  0.40 
  255  -0.61   4.85  4.28  0.9410023 9977  1.00  0.40 
  256  -0.88   4.97  4.26  0.9810037 9927  1.00  0.40 
  257  -1.17   5.06  4.25  0.99 994610005  1.00  0.40 
  258  -1.51   5.15  4.25  1.0110065 9951  1.00  0.40 
  259  -1.83   5.24  4.25  1.02 9960 9966  1.00  0.40 
  260  -2.18   5.32  4.22  1.0310017 9986  1.00  0.40 
  261  -2.53   5.40  4.20  1.04 990810187  1.00  0.40 
  262  -2.85   5.47  4.19  1.0510045 9927  1.00  0.40 
  263  -3.28   5.55  4.16  1.061007910003  1.00  0.40 
  264  -3.71   5.62  4.14  1.0810039 9952  1.00  0.40 
  265  -3.96   5.65  4.11  1.0910040 9901  1.00  0.40 
  266  -4.31   5.68  4.06  1.1010003 9945  1.00  0.40 
  267  -4.62   5.73  4.03  1.1110030 9987  1.00  0.40 
  268  -4.88   5.75  4.05  1.13 991210095  1.00  0.40 
  269  -5.09   5.78  4.03  1.141008710005  1.00  0.40 
  270  -5.28   5.79  4.01  1.15 9987 9911  1.00  0.40 
  271  -5.47   5.78  3.99  1.161004510100  1.00  0.40 
  272  -5.60   5.78  3.96  1.18 991810034  1.00  0.40 
  273  -5.79   5.76  3.95  1.19 9930 9959  1.00  0.40 
  274  -5.88   5.74  3.95  1.1910035 9980  1.00  0.40 
  275  -6.00   5.73  3.96  1.19 9954 9913  1.00  0.40 
  276  -6.10   5.70  3.96  1.21 9891 9881  1.00  0.40 
  277  -6.24   5.66  3.95  1.22 993810086  1.00  0.40 
  278  -6.30   5.62  3.96  1.221009810112  1.00  0.40 
  279  -6.39   5.61  3.95  1.2210122 9960  1.00  0.40 
  280  -6.48   5.60  3.96  1.231005710032  1.00  0.40 
  281  -6.60   5.56  3.95  1.2310057 9872  1.00  0.40 
  282  -6.68   5.53  3.94  1.23 999310177  1.00  0.40 
  283  -6.74   5.50  3.96  1.2310027 9978  1.00  0.40 
  284  -6.73   5.43  3.97  1.24 997710100  1.00  0.40 
  285  -6.80   5.39  3.97  1.25 997110038  1.00  0.40 
  286  -6.90   5.36  3.97  1.25 994410068  1.00  0.40 
  287  -6.98   5.32  3.98  1.25 997410006  1.00  0.40 
